device_id,latitude,longitude,snapshot_datetime,collector_id,destination_request_id
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:42.373120,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:47.379586,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:52.473970,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:57.308858,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:02.335482,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:07.301313,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:12.324396,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:17.306656,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:22.295105,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:27.295483,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:32.314547,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:37.304209,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:42.354204,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:47.281990,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:52.359426,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:57.300053,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:02.317911,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:07.243096,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:12.323097,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:17.279115,51.0,
fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:22.278425,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:47.843047,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:51.418657,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:56.319108,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:01.489270,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:06.486555,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:11.391414,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:16.383063,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:21.378353,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:26.421735,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:31.438050,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:36.583249,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:41.411792,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:46.452137,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:51.381276,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:56.422072,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:01.621543,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:06.341919,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:11.404427,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:16.388262,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:22.189179,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:26.820414,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:32.083185,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:36.430945,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:41.444955,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:46.366440,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:51.383709,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:56.588609,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:01.697443,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:06.395455,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:11.416032,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:16.381261,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:21.431578,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:26.434299,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:32.729272,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:36.589759,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:41.480654,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:46.508434,51.0,
b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:31:51.413383,51.0,
