collector_id,device_id,latitude,longitude,snapshot_datetime
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:17.338230
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:21.614333
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:27.425884
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:30.918961
257.0,a685f0f069042727,30.5623139,31.5600813,2022-06-13 16:43:37.476021
257.0,a685f0f069042727,30.5623139,31.5600813,2022-06-13 16:43:41.797986
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:47.439838
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 16:43:51.117496
257.0,a685f0f069042727,30.5623139,31.5600813,2022-06-13 16:43:57.306207
257.0,a685f0f069042727,30.5623139,31.5600813,2022-06-13 16:44:01.875844
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 16:44:37.986890
257.0,a685f0f069042727,30.562313,31.5600803,2022-06-13 16:45:27.290288
257.0,a685f0f069042727,30.5623179,31.5600719,2022-06-13 16:45:44.368899
257.0,a685f0f069042727,30.5623179,31.5600719,2022-06-13 16:45:47.887601
257.0,a685f0f069042727,30.5623205,31.560072,2022-06-13 16:45:53.267352
257.0,a685f0f069042727,30.5623205,31.560072,2022-06-13 16:45:56.588910
257.0,a685f0f069042727,30.5623141,31.5600813,2022-06-13 16:46:00.233319
257.0,a685f0f069042727,30.5623141,31.5600813,2022-06-13 16:46:03.115500
257.0,a685f0f069042727,30.562315,31.5600817,2022-06-13 16:46:10.037966
257.0,a685f0f069042727,30.562315,31.5600817,2022-06-13 16:46:13.348394
257.0,a685f0f069042727,30.5623171,31.5600722,2022-06-13 16:46:20.735918
257.0,a685f0f069042727,30.5623171,31.5600722,2022-06-13 16:46:23.977142
257.0,a685f0f069042727,30.5623133,31.5600712,2022-06-13 16:46:29.365186
257.0,a685f0f069042727,30.5623133,31.5600712,2022-06-13 16:46:33.115088
257.0,a685f0f069042727,30.5623136,31.5600771,2022-06-13 17:44:49.285132
257.0,a685f0f069042727,30.5623136,31.5600771,2022-06-13 17:44:52.312976
257.0,a685f0f069042727,30.562314399999998,31.5600748,2022-06-13 17:44:58.533311
257.0,a685f0f069042727,30.562314399999998,31.5600748,2022-06-13 17:45:02.810500
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:19.094332
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:22.376855
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:29.230249
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:32.795634
257.0,a685f0f069042727,30.5623136,31.560081,2022-06-13 17:45:38.667151
257.0,a685f0f069042727,30.5623136,31.560081,2022-06-13 17:45:42.441726
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:48.986065
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:45:53.326974
257.0,a685f0f069042727,30.562314,31.5600775,2022-06-13 17:46:03.147514
257.0,a685f0f069042727,30.562314,31.5600775,2022-06-13 17:46:05.096011
257.0,a685f0f069042727,30.562314,31.5600774,2022-06-13 17:46:08.217770
257.0,a685f0f069042727,30.5623145,31.5600761,2022-06-13 17:46:12.494946
257.0,a685f0f069042727,30.5623136,31.560081,2022-06-13 17:46:19.825289
257.0,a685f0f069042727,30.5623136,31.560081,2022-06-13 17:46:22.583495
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:46:28.815711
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:46:33.412882
257.0,a685f0f069042727,30.5623123,31.5600753,2022-06-13 17:46:38.645075
257.0,a685f0f069042727,30.5623123,31.5600753,2022-06-13 17:46:43.065427
257.0,a685f0f069042727,30.5623123,31.5600752,2022-06-13 17:46:48.023476
257.0,a685f0f069042727,30.5623136,31.5600818,2022-06-13 17:46:52.353040
257.0,a685f0f069042727,30.5623137,31.5600816,2022-06-13 17:46:59.634872
257.0,a685f0f069042727,30.5623137,31.5600816,2022-06-13 17:47:02.239515
257.0,a685f0f069042727,30.5623137,31.5600814,2022-06-13 17:47:08.585998
257.0,a685f0f069042727,30.5623137,31.5600814,2022-06-13 17:47:12.356829
257.0,a685f0f069042727,30.5623137,31.5600814,2022-06-13 17:47:35.726825
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 17:47:45.326288
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 17:47:49.215662
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 17:47:55.546822
257.0,a685f0f069042727,30.5623138,31.5600811,2022-06-13 17:47:57.897783
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 17:53:53.864326
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 17:53:55.319067
257.0,a685f0f069042727,30.5623137,31.560081,2022-06-13 17:53:58.860008
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:54:04.927308
257.0,a685f0f069042727,30.5623136,31.5600811,2022-06-13 17:54:08.725654
257.0,a685f0f069042727,30.5623131,31.5600779,2022-06-13 17:54:15.575199
257.0,a685f0f069042727,30.5623137,31.5600815,2022-06-13 17:54:20.505762
257.0,a685f0f069042727,30.5623137,31.5600815,2022-06-13 17:54:23.907317
257.0,a685f0f069042727,30.5623132,31.5600773,2022-06-13 17:54:32.197111
257.0,a685f0f069042727,30.5623139,31.5600758,2022-06-13 17:54:39.786585
257.0,a685f0f069042727,30.5623139,31.5600758,2022-06-13 17:54:44.450715
257.0,a685f0f069042727,30.5623137,31.5600815,2022-06-13 17:54:49.572263
257.0,a685f0f069042727,30.5623137,31.5600817,2022-06-13 17:55:00.949348
257.0,a685f0f069042727,30.5623137,31.5600817,2022-06-13 17:55:02.278852
257.0,a685f0f069042727,30.5623007,31.5600997,2022-06-13 18:25:02.829962
257.0,a685f0f069042727,30.5623007,31.5600997,2022-06-13 18:25:05.485004
257.0,a685f0f069042727,30.5623007,31.5600997,2022-06-13 18:25:11.277591
257.0,a685f0f069042727,30.5623,31.5601035,2022-06-13 18:25:15.624958
257.0,a685f0f069042727,30.5623,31.5601035,2022-06-13 18:25:20.639150
257.0,a685f0f069042727,30.5623117,31.5600816,2022-06-13 18:25:25.414420
257.0,a685f0f069042727,30.5623117,31.5600816,2022-06-13 18:25:31.048367
257.0,a685f0f069042727,30.5623121,31.5600801,2022-06-13 18:25:39.247044
257.0,a685f0f069042727,30.5623121,31.5600801,2022-06-13 18:25:41.217370
257.0,a685f0f069042727,30.5623051,31.5600912,2022-06-13 18:25:45.574352
257.0,a685f0f069042727,30.562304,31.5600927,2022-06-13 18:25:51.887048
257.0,a685f0f069042727,30.562304,31.5600927,2022-06-13 18:25:56.465310
