collector_id,device_id,latitude,longitude,snapshot_datetime,destination_request_id
99.0,a5f55343f48cf3b2,30.9157835,30.2997628,2022-01-22 17:10:22.499088,
99.0,a5f55343f48cf3b2,30.9157835,30.2997628,2022-01-22 17:10:27.184939,
99.0,a5f55343f48cf3b2,30.9152746,30.3004811,2022-01-22 17:10:32.195519,
99.0,a5f55343f48cf3b2,30.9152737,30.3004824,2022-01-22 17:10:37.218805,
99.0,a5f55343f48cf3b2,30.9152779,30.3004765,2022-01-22 17:10:42.210450,
99.0,a5f55343f48cf3b2,30.9152828,30.3004696,2022-01-22 17:10:47.166868,
99.0,a5f55343f48cf3b2,30.9152788,30.3004752,2022-01-22 17:10:52.157713,
99.0,a5f55343f48cf3b2,30.9152835,30.3004686,2022-01-22 17:10:57.180311,
99.0,a5f55343f48cf3b2,30.9152913,30.3004576,2022-01-22 17:11:02.171843,
99.0,a5f55343f48cf3b2,30.9153036,30.3004402,2022-01-22 17:11:07.108756,
99.0,a5f55343f48cf3b2,30.9153475,30.3003783,2022-01-22 17:11:12.297964,
99.0,a5f55343f48cf3b2,30.9153475,30.3003783,2022-01-22 17:11:17.221636,
99.0,a5f55343f48cf3b2,30.9181984,30.3030068,2022-01-22 17:27:05.857875,
99.0,a5f55343f48cf3b2,30.9181984,30.3030068,2022-01-22 17:27:10.521830,
99.0,a5f55343f48cf3b2,30.9181984,30.3030068,2022-01-22 17:27:15.727980,
99.0,a5f55343f48cf3b2,30.9201951,30.3091343,2022-01-22 17:27:20.444740,
99.0,a5f55343f48cf3b2,30.9199166,30.3051695,2022-01-22 19:59:19.601652,
99.0,a5f55343f48cf3b2,30.9196199,30.3061718,2022-01-22 19:59:49.225439,
99.0,a5f55343f48cf3b2,30.919967,30.3065985,2022-01-22 19:59:49.336713,
99.0,a5f55343f48cf3b2,30.9195196,30.3062237,2022-01-22 20:00:01.911418,
99.0,a5f55343f48cf3b2,30.9199166,30.3051695,2022-01-22 20:00:02.813369,
99.0,a5f55343f48cf3b2,30.9198926,30.306507,2022-01-22 20:00:03.724242,
99.0,a5f55343f48cf3b2,30.9195434,30.3061604,2022-01-22 20:00:04.134365,
99.0,a5f55343f48cf3b2,30.9195434,30.3061604,2022-01-22 20:00:05.224048,
99.0,a5f55343f48cf3b2,30.9194057,30.3109364,2022-01-22 20:00:05.225266,
99.0,a5f55343f48cf3b2,30.9194984,30.3060223,2022-01-22 20:00:05.835048,
99.0,a5f55343f48cf3b2,30.9202812,30.3066459,2022-01-22 20:00:07.271770,
99.0,a5f55343f48cf3b2,30.9195108,30.3062469,2022-01-22 20:00:10.165682,
99.0,a5f55343f48cf3b2,30.919812,30.306408,2022-01-22 20:00:12.500943,
99.0,a5f55343f48cf3b2,30.9197225,30.3062979,2022-01-22 20:00:16.179854,
99.0,a5f55343f48cf3b2,30.9203046,30.3067403,2022-01-22 20:00:17.589145,
99.0,a5f55343f48cf3b2,30.9203046,30.3067403,2022-01-22 20:00:32.755561,
99.0,a5f55343f48cf3b2,30.9202394,30.306216,2022-01-22 20:00:47.140841,
99.0,a5f55343f48cf3b2,30.9202518,30.3063101,2022-01-22 20:00:47.524276,
99.0,a5f55343f48cf3b2,30.9202865,30.3065734,2022-01-22 20:00:54.384665,
99.0,a5f55343f48cf3b2,30.920267,30.3064253,2022-01-22 20:00:56.841160,
99.0,a5f55343f48cf3b2,30.9202275,30.306126,2022-01-22 20:01:08.142275,
99.0,a5f55343f48cf3b2,30.9202275,30.306126,2022-01-22 20:01:54.478019,
99.0,a5f55343f48cf3b2,30.9192152,30.3055189,2022-01-22 20:01:54.487869,
99.0,a5f55343f48cf3b2,30.9203131,30.3067746,2022-01-22 20:01:54.494445,
99.0,a5f55343f48cf3b2,30.9192152,30.3055189,2022-01-22 20:02:48.999845,
99.0,a5f55343f48cf3b2,30.9186164,30.3051695,2022-01-22 22:02:32.091804,
99.0,a5f55343f48cf3b2,30.9186164,30.3051695,2022-01-22 22:02:34.045545,
